errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize
.8184000000000001,1,.04108905792236328,512,4,11000,1,2,1,1000,.16487288479086987,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.04110209147135417,512,4,11000,1,3,1,1000,.16487288479086987,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.051000000000000045,1,.04475968678792318,512,4,12000,1,1,1,1000,.17890360423749357,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.8668999999999999,1,.04474932352701823,512,4,12000,1,2,1,1000,.17890360423749357,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.04474836985270182,512,4,12000,1,3,1,1000,.17890360423749357,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.0644,1,.048373985290527347,512,4,13000,1,1,1,1000,.19285779823529478,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9045,1,.048387908935546876,512,4,13000,1,2,1,1000,.19285779823529478,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.048397827148437496,512,4,13000,1,3,1,1000,.19285779823529478,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.08029999999999995,1,.051999918619791675,512,4,14000,1,1,1,1000,.2067413655000841,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9283999999999999,1,.052004941304524745,512,4,14000,1,2,1,1000,.2067413655000841,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.05199591318766276,512,4,14000,1,3,1,1000,.2067413655000841,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.08989999999999997,1,.055614852905273446,512,4,15000,1,1,1,1000,.22055935973863022,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9532999999999999,1,.055618158976236974,512,4,15000,1,2,1,1000,.22055935973863022,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.055609130859375,512,4,15000,1,3,1,1000,.22055935973863022,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.1105,1,.05920766194661459,512,4,16000,1,1,1,1000,.23431615921364252,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9683999999999999,1,.059211222330729174,512,4,16000,1,2,1,1000,.23431615921364252,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.05920448303222657,512,4,16000,1,3,1,1000,.23431615921364252,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.133,1,.06278209686279297,512,4,17000,1,1,1,1000,.24801559375730436,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
.9789,1,.06280587514241537,512,4,17000,1,2,1,1000,.24801559375730436,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
1,1,.0627850850423177,512,4,17000,1,3,1,1000,.24801559375730436,sum_of_sum!,erase_clusters!,1,0,0,1,512,0,10
